Sun Jan  9 16:40:04 2022    Face_Detector/Viola_and_jones/output.dat

         1207220 function calls (1206955 primitive calls) in 11.619 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       84    0.000    0.000    0.000    0.000 D:\Anaconda\envs\pattern\lib\site-packages\numpy\core\numerictypes.py:360(issubdtype)
       12    0.000    0.000    0.023    0.002 D:\Anaconda\envs\pattern\lib\site-packages\imutils\convenience.py:65(resize)
        4    0.000    0.000    0.000    0.000 {rectangle}
       60    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
      168    0.000    0.000    0.000    0.000 D:\Anaconda\envs\pattern\lib\site-packages\numpy\core\numerictypes.py:286(issubclass_)
       48    0.000    0.000    0.013    0.000 D:\Anaconda\envs\pattern\lib\site-packages\skimage\util\dtype.py:426(img_as_float)
      181    0.000    0.000    0.000    0.000 D:\Anaconda\envs\pattern\lib\site-packages\tqdm\utils.py:57(__init__)
      181    0.000    0.000    0.000    0.000 D:\Anaconda\envs\pattern\lib\site-packages\tqdm\utils.py:61(__format__)
      144    0.000    0.000    0.000    0.000 D:\Anaconda\envs\pattern\lib\_weakrefset.py:16(__init__)
      216    0.000    0.000    0.001    0.000 D:\Anaconda\envs\pattern\lib\site-packages\tqdm\utils.py:163(__eq__)
       12    0.000    0.000    0.013    0.001 D:\Anaconda\envs\pattern\lib\site-packages\scipy\ndimage\measurements.py:44(label)
        3    0.000    0.000    0.000    0.000 {built-in method nt.stat}
       72    0.000    0.000    0.000    0.000 D:\Anaconda\envs\pattern\lib\site-packages\tqdm\utils.py:193(_is_utf)
       72    0.000    0.000    0.001    0.000 D:\Anaconda\envs\pattern\lib\site-packages\tqdm\std.py:656(get_lock)
       24    0.000    0.000    0.000    0.000 D:\Anaconda\envs\pattern\lib\site-packages\numpy\core\_dtype.py:307(_name_includes_bit_suffix)
       72    0.000    0.000    0.000    0.000 D:\Anaconda\envs\pattern\lib\site-packages\tqdm\std.py:329(status_printer)
       24    0.000    0.000    0.001    0.000 D:\Anaconda\envs\pattern\lib\site-packages\numpy\core\numeric.py:144(ones)
       12    0.000    0.000    0.000    0.000 d:\Fall 2021\Image Processing\Project\Pipeline\emotion_detector\Face_Detector\Viola_and_jones\Detector.py:96(open_cv_merge)
       24    0.000    0.000    0.000    0.000 {method 'any' of 'numpy.generic' objects}
       72    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
       24    0.000    0.000    0.000    0.000 D:\Anaconda\envs\pattern\lib\site-packages\numpy\core\getlimits.py:498(__init__)
      144    0.000    0.000    0.000    0.000 D:\Anaconda\envs\pattern\lib\site-packages\tqdm\std.py:1144(__hash__)
      181    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       72    0.000    0.000    0.000    0.000 D:\Anaconda\envs\pattern\lib\site-packages\tqdm\utils.py:105(__init__)
       72    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FF90AEAB810}
       72    0.000    0.000    0.000    0.000 D:\Anaconda\envs\pattern\lib\site-packages\tqdm\utils.py:74(__eq__)
       48    0.000    0.000    0.001    0.000 {method 'sum' of 'numpy.ndarray' objects}
      144    0.000    0.000    0.000    0.000 D:\Anaconda\envs\pattern\lib\site-packages\tqdm\std.py:1140(_comparable)
        8    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
       96    0.000    0.000    0.000    0.000 D:\Anaconda\envs\pattern\lib\site-packages\scipy\ndimage\filters.py:50(_invalid_origin)
       24    0.000    0.000    0.001    0.000 D:\Anaconda\envs\pattern\lib\site-packages\numpy\core\fromnumeric.py:2249(any)
      181    0.000    0.000    0.000    0.000 D:\Anaconda\envs\pattern\lib\site-packages\tqdm\std.py:168(colour)
       12    0.000    0.000    0.000    0.000 D:\Anaconda\envs\pattern\lib\site-packages\skimage\_shared\utils.py:256(check_nD)
       72    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       72    0.000    0.000    0.000    0.000 D:\Anaconda\envs\pattern\lib\site-packages\tqdm\utils.py:223(_screen_shape_wrapper)
